twitter_author_id,title,full_text,sentiment,region,account_type,author,city,gender,hashtags,impact,impressions,tags,twitter_followers,twitter_following,twitter_tweets,reach_(new)
4083458907.0,RT @kilundeezy A good reminder  @OleItumbi  pay Influencers.@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n21/05/2022  #BottomUpMuranga\n21/05/2022 #NyeriNiHustlerNation \n 23/05/2023 #BottomUpKiambu\n24/05/2022 #BottomUpTaitaTaveta\n25/05/2022 #TheEconomyFirst \n26/05/2022 #PlanNiBottomUp,RT @kilundeezy A good reminder @OleItumbi pay Influencers.@WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp,neutral,Nairobi,individual,Olang_Moses,Nairobi,prefer not to say,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",38.9,21114,#MamaMbogaMoment,21114,15120,157903,7602
1.357591577925935e+18,RT @kilundeezy A good reminder  @OleItumbi  pay Influencers.@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n21/05/2022  #BottomUpMuranga\n21/05/2022 #NyeriNiHustlerNation \n 23/05/2023 #BottomUpKiambu\n24/05/2022 #BottomUpTaitaTaveta\n25/05/2022 #TheEconomyFirst \n26/05/2022 #PlanNiBottomUp,RT @kilundeezy A good reminder @OleItumbi pay Influencers.@WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp,neutral,Nairobi,individual,CaesarToreto,Nairobi,prefer not to say,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",31.8,10073,#MamaMbogaMoment,10073,1209,32910,4958
7.296242459915182e+17,RT @kilundeezy A good reminder  @OleItumbi  pay Influencers.@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n21/05/2022  #BottomUpMuranga\n21/05/2022 #NyeriNiHustlerNation \n 23/05/2023 #BottomUpKiambu\n24/05/2022 #BottomUpTaitaTaveta\n25/05/2022 #TheEconomyFirst \n26/05/2022 #PlanNiBottomUp,RT @kilundeezy A good reminder @OleItumbi pay Influencers.@WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp,neutral,Nairobi,organisational,kirubimuigai,Nairobi,prefer not to say,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",0.0,221,#MamaMbogaMoment,221,34,8326,0
1.533716420772647e+18,RT @kilundeezy A good reminder  @OleItumbi  pay Influencers.@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n21/05/2022  #BottomUpMuranga\n21/05/2022 #NyeriNiHustlerNation \n 23/05/2023 #BottomUpKiambu\n24/05/2022 #BottomUpTaitaTaveta\n25/05/2022 #TheEconomyFirst \n26/05/2022 #PlanNiBottomUp,RT @kilundeezy A good reminder @OleItumbi pay Influencers.@WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp,neutral,Rift Valley,individual,125__iconic,Kericho,prefer not to say,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",0.0,342,#MamaMbogaMoment,342,183,1705,0
1.524933644879536e+18,RT @OleItumbi I am taking a 36 Hours break from Social Media. \n\nReason: It is so CLASSIFIED@\n\nPlease keep the #MamaMbogaMoment moving.\n\n#HustlerNation is #Radico\n\nXXXXXX\n\nAlso keep subscribing to HNIB News Service  by Sending 1 to 23253..( cost: 3 bob)\n\nAsanteni for all those who have joined,RT @OleItumbi I am taking a 36 Hours break from Social Media. Reason: It is so CLASSIFIED@ Please keep the #MamaMbogaMoment moving. #HustlerNation is #Radico XXXXXX Also keep subscribing to HNIB News Service by Sending 1 to 23253..( cost: 3 bob) Asanteni for all those who have joined,neutral,Rift Valley,individual,Bonniedes,Nanyuki,prefer not to say,"#mamambogamoment, #hustlernation, #radico",2.3,2024,#MamaMbogaMoment,2024,1795,37657,1205
325490910.0,"RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #PlanNiBottomUp","RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+ 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp",neutral,Nairobi,individual,EyanoEyano,Nairobi,prefer not to say,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",0.0,1600,#MamaMbogaMoment,1600,2239,107475,820
1.3855075607913636e+18,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa.\n@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #ItumbiPayInfluencers,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa. @WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #ItumbiPayInfluencers,neutral,Rift Valley,individual,dickensjoh,Nakuru,prefer not to say,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",0.0,546,#MamaMbogaMoment,546,616,2060,0
4460304316.0,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa.\n@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #ItumbiPayInfluencers,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa. @WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #ItumbiPayInfluencers,neutral,Nairobi,individual,machirabrian,Nairobi,prefer not to say,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",34.2,11574,#MamaMbogaMoment,11574,8736,45315,5400
4083458907.0,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa.\n@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #ItumbiPayInfluencers,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa. @WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #ItumbiPayInfluencers,neutral,Nairobi,individual,Olang_Moses,Nairobi,prefer not to say,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",38.8,20780,#MamaMbogaMoment,20780,14904,154468,7537
2342778935.0,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa.\n@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #ItumbiPayInfluencers,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa. @WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #ItumbiPayInfluencers,neutral,Nairobi,individual,1stDarwin,Nairobi,male,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",0.0,1497,#MamaMbogaMoment,1497,1474,80713,717
