Source,Target,Type
Olang_Moses,@oleitumbi,Mention
Olang_Moses,@williamsruto,Mention
CaesarToreto,@oleitumbi,Mention
CaesarToreto,@williamsruto,Mention
kirubimuigai,@oleitumbi,Mention
kirubimuigai,@williamsruto,Mention
125__iconic,@oleitumbi,Mention
125__iconic,@williamsruto,Mention
Bonniedes,@,Mention
dickensjoh,@oleitumbi,Mention
dickensjoh,@williamsruto,Mention
machirabrian,@oleitumbi,Mention
machirabrian,@williamsruto,Mention
1stDarwin,@oleitumbi,Mention
1stDarwin,@williamsruto,Mention
BraqueGeorges,@oleitumbi,Mention
BraqueGeorges,@williamsruto,Mention
SangKelvin01,@williamsruto,Mention
SangKelvin01,@biancawamu,Mention
SangKelvin01,@peterratemo4,Mention
SangKelvin01,@oleitumbi,Mention
SangKelvin01,@husseinmohamedg,Mention
SangKelvin01,@wmmartha,Mention
EWitness,@gunnerafrican,Mention
EWitness,@husseinmohamedg,Mention
EWitness,@sakajajohnson,Mention
EWitness,@udakenya,Mention
blessedjackey,@williamsruto,Mention
blessedjackey,@rigathi,Mention
KYKiamba,@nduyamuthama,Mention
TevinMacharia,@nduyamuthama,Mention
mwangiwamso,@standardkenya,Mention
ASBELKEMBOI7,@alexawiti,Mention
MaimunaSaid7,@womenruto,Mention
MaimunaSaid7,@isaackmutai9,Mention
khanhussein20,@railaodinga,Mention
khanhussein20,@williamsruto,Mention
Pauline34677965,@railaodinga,Mention
Pauline34677965,@williamsruto,Mention
Geffnuthskey,@railaodinga,Mention
Geffnuthskey,@williamsruto,Mention
JohnMulu12,@railaodinga,Mention
JohnMulu12,@williamsruto,Mention
Dizzy_Snazzy,@railaodinga,Mention
Dizzy_Snazzy,@williamsruto,Mention
RaswilliEms69,@railaodinga,Mention
RaswilliEms69,@williamsruto,Mention
dkdaniek5,@railaodinga,Mention
dkdaniek5,@williamsruto,Mention
Rashidhatibu254,@railaodinga,Mention
Rashidhatibu254,@williamsruto,Mention
IsoeKenty,@railaodinga,Mention
IsoeKenty,@williamsruto,Mention
KaranjaNjau,@railaodinga,Mention
KaranjaNjau,@williamsruto,Mention
dkoech79,@railaodinga,Mention
dkoech79,@williamsruto,Mention
nya20sa1,@railaodinga,Mention
nya20sa1,@williamsruto,Mention
KenyaKwanza2022,@railaodinga,Mention
KenyaKwanza2022,@williamsruto,Mention
254Mish,@railaodinga,Mention
254Mish,@williamsruto,Mention
kiruiericky,@railaodinga,Mention
kiruiericky,@williamsruto,Mention
Mwaistanley2,@railaodinga,Mention
Mwaistanley2,@williamsruto,Mention
tituskimanthi,@railaodinga,Mention
tituskimanthi,@williamsruto,Mention
evansktoo15,@railaodinga,Mention
evansktoo15,@williamsruto,Mention
Tonipassiany,@railaodinga,Mention
Tonipassiany,@williamsruto,Mention
LangatBismark1,@railaodinga,Mention
LangatBismark1,@williamsruto,Mention
Honkorirsammy,@railaodinga,Mention
Honkorirsammy,@williamsruto,Mention
KalyaGs,@railaodinga,Mention
KalyaGs,@williamsruto,Mention
Robaa82,@railaodinga,Mention
Robaa82,@williamsruto,Mention
Kerichmarley,@railaodinga,Mention
Kerichmarley,@williamsruto,Mention
BelioSturridge,@railaodinga,Mention
BelioSturridge,@williamsruto,Mention
AMASIKANIKENYA,@railaodinga,Mention
