twitter_author_id,title,full_text,sentiment,region,account_type,author,city,gender,hashtags,impact,impressions,mentioned_authors,tags,twitter_followers,twitter_following,twitter_tweets,reach_(new)
4083458907,RT @kilundeezy A good reminder  @OleItumbi  pay Influencers.@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n21/05/2022  #BottomUpMuranga\n21/05/2022 #NyeriNiHustlerNation \n 23/05/2023 #BottomUpKiambu\n24/05/2022 #BottomUpTaitaTaveta\n25/05/2022 #TheEconomyFirst \n26/05/2022 #PlanNiBottomUp,RT @kilundeezy A good reminder @OleItumbi pay Influencers.@WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp,neutral,Nairobi,individual,Olang_Moses,Nairobi,male,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",38.9,21114,"@oleitumbi, @williamsruto",#MamaMbogaMoment,21114,15120,157903,7602
1.36E+18,RT @kilundeezy A good reminder  @OleItumbi  pay Influencers.@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n21/05/2022  #BottomUpMuranga\n21/05/2022 #NyeriNiHustlerNation \n 23/05/2023 #BottomUpKiambu\n24/05/2022 #BottomUpTaitaTaveta\n25/05/2022 #TheEconomyFirst \n26/05/2022 #PlanNiBottomUp,RT @kilundeezy A good reminder @OleItumbi pay Influencers.@WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp,neutral,Nairobi,individual,CaesarToreto,Nairobi,unknown,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",31.8,10073,"@oleitumbi, @williamsruto",#MamaMbogaMoment,10073,1209,32910,4958
7.30E+17,RT @kilundeezy A good reminder  @OleItumbi  pay Influencers.@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n21/05/2022  #BottomUpMuranga\n21/05/2022 #NyeriNiHustlerNation \n 23/05/2023 #BottomUpKiambu\n24/05/2022 #BottomUpTaitaTaveta\n25/05/2022 #TheEconomyFirst \n26/05/2022 #PlanNiBottomUp,RT @kilundeezy A good reminder @OleItumbi pay Influencers.@WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp,neutral,Nairobi,organisational,kirubimuigai,Nairobi,male,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",0,221,"@oleitumbi, @williamsruto",#MamaMbogaMoment,221,34,8326,0
1.53E+18,RT @kilundeezy A good reminder  @OleItumbi  pay Influencers.@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n21/05/2022  #BottomUpMuranga\n21/05/2022 #NyeriNiHustlerNation \n 23/05/2023 #BottomUpKiambu\n24/05/2022 #BottomUpTaitaTaveta\n25/05/2022 #TheEconomyFirst \n26/05/2022 #PlanNiBottomUp,RT @kilundeezy A good reminder @OleItumbi pay Influencers.@WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp,neutral,Rift Valley,individual,125__iconic,Kericho,unknown,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",0,342,"@oleitumbi, @williamsruto",#MamaMbogaMoment,342,183,1705,0
1.52E+18,RT @OleItumbi I am taking a 36 Hours break from Social Media. \n\nReason: It is so CLASSIFIED@\n\nPlease keep the #MamaMbogaMoment moving.\n\n#HustlerNation is #Radico\n\nXXXXXX\n\nAlso keep subscribing to HNIB News Service  by Sending 1 to 23253..( cost: 3 bob)\n\nAsanteni for all those who have joined,RT @OleItumbi I am taking a 36 Hours break from Social Media. Reason: It is so CLASSIFIED@ Please keep the #MamaMbogaMoment moving. #HustlerNation is #Radico XXXXXX Also keep subscribing to HNIB News Service by Sending 1 to 23253..( cost: 3 bob) Asanteni for all those who have joined,neutral,Rift Valley,individual,Bonniedes,Nanyuki,unknown,"#mamambogamoment, #hustlernation, #radico",2.3,2024,@,#MamaMbogaMoment,2024,1795,37657,1205
325490910,"RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #PlanNiBottomUp","RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+ 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp",neutral,Nairobi,individual,EyanoEyano,Nairobi,unknown,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",0,1600,,#MamaMbogaMoment,1600,2239,107475,820
1.39E+18,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa.\n@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #ItumbiPayInfluencers,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa. @WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #ItumbiPayInfluencers,neutral,Rift Valley,individual,dickensjoh,Nakuru,male,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",0,546,"@oleitumbi, @williamsruto",#MamaMbogaMoment,546,616,2060,0
4460304316,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa.\n@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #ItumbiPayInfluencers,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa. @WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #ItumbiPayInfluencers,neutral,Nairobi,individual,machirabrian,Nairobi,male,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",34.2,11574,"@oleitumbi, @williamsruto",#MamaMbogaMoment,11574,8736,45315,5400
4083458907,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa.\n@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #ItumbiPayInfluencers,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa. @WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #ItumbiPayInfluencers,neutral,Nairobi,individual,Olang_Moses,Nairobi,male,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",38.8,20780,"@oleitumbi, @williamsruto",#MamaMbogaMoment,20780,14904,154468,7537
2342778935,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa.\n@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #ItumbiPayInfluencers,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa. @WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #ItumbiPayInfluencers,neutral,Nairobi,individual,1stDarwin,Nairobi,male,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",0,1497,"@oleitumbi, @williamsruto",#MamaMbogaMoment,1497,1474,80713,717
9.18E+17,"RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #PlanNiBottomUp","RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+ 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp",neutral,Nairobi,individual,celleboboh,Nairobi,unknown,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",4.5,2490,,#MamaMbogaMoment,2490,1396,31678,1573
634459233,"RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #PlanNiBottomUp","RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+ 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp",neutral,Nairobi,individual,MishBosslady__,Nairobi,unknown,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",37.4,16407,,#MamaMbogaMoment,16407,815,142390,6618
2165457905,"RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #PlanNiBottomUp","RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+ 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp",neutral,Nairobi,individual,KThefirst,Nairobi,male,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",29.1,7662,,#MamaMbogaMoment,7662,7811,42529,4150
422110293,"RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #PlanNiBottomUp","RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+ 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp",neutral,Nairobi,individual,Denoh__,Nairobi,male,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",2.7,2098,,#MamaMbogaMoment,2098,1405,107099,1267
356347460,"RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #PlanNiBottomUp","RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+ 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp",neutral,Nairobi,individual,RutoJoel,Nairobi,male,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",0.8,1778,,#MamaMbogaMoment,1778,3628,2954,989
337594729,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa.\n@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #ItumbiPayInfluencers,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa. @WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #ItumbiPayInfluencers,neutral,Nairobi,individual,BraqueGeorges,Nairobi,male,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",1.6,1906,"@oleitumbi, @williamsruto",#MamaMbogaMoment,1906,5006,29398,1103
1.36E+18,"RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #PlanNiBottomUp","RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+ 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp",neutral,Nairobi,individual,CaesarToreto,Nairobi,unknown,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",31.8,10088,,#MamaMbogaMoment,10088,1194,32257,4963
337594729,"RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #PlanNiBottomUp","RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+ 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp",neutral,Nairobi,individual,BraqueGeorges,Nairobi,male,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",1.6,1906,,#MamaMbogaMoment,1906,5006,29388,1103
4715797281,"RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #PlanNiBottomUp","RT @kilundeezy Hiyo pesa itumbi aliturusha inaniuma sana 10,000+ 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp",neutral,Nairobi,individual,ygwaweru,Nairobi,male,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",0,1316,,#MamaMbogaMoment,1316,785,18761,525
1.46E+18,RT @uda_hustler Hustlers will always make you happy.\nlike and retweet this ifikie our deputy president gachagua.\n\n//mirema// huddah// at 16// martha karua// \n#mamambogamoment https://t.co/GeF79yyR2l,RT @uda_hustler Hustlers will always make you happy. like and retweet this ifikie our deputy president gachagua. //mirema// huddah// at 16// martha karua// #mamambogamoment https://t.co/GeF79yyR2l,positive,Nairobi,individual,ApparentKenyan,Nairobi,unknown,#mamambogamoment,0,1180,,#MamaMbogaMoment,1180,422,15561,369
275562803,RT @uda_hustler Hustlers will always make you happy.\nlike and retweet this ifikie our deputy president gachagua.\n\n//mirema// huddah// at 16// martha karua// \n#mamambogamoment https://t.co/GeF79yyR2l,RT @uda_hustler Hustlers will always make you happy. like and retweet this ifikie our deputy president gachagua. //mirema// huddah// at 16// martha karua// #mamambogamoment https://t.co/GeF79yyR2l,positive,Nairobi,individual,twambari,Nairobi,male,#mamambogamoment,0,1234,,#MamaMbogaMoment,1234,3935,19836,432
982924514,RT @uda_hustler Hustlers will always make you happy.\nlike and retweet this ifikie our deputy president gachagua.\n\n//mirema// huddah// at 16// martha karua// \n#mamambogamoment https://t.co/GeF79yyR2l,RT @uda_hustler Hustlers will always make you happy. like and retweet this ifikie our deputy president gachagua. //mirema// huddah// at 16// martha karua// #mamambogamoment https://t.co/GeF79yyR2l,positive,Nairobi,individual,MugambiNick,Nairobi,male,#mamambogamoment,0,147,,#MamaMbogaMoment,147,178,672,0
