Id,Label,twitter_author_id,gender,city
1,Olang_Moses,4083458907.0,prefer not to say,Nairobi
2,CaesarToreto,1.357591577925935e+18,prefer not to say,Nairobi
3,kirubimuigai,7.296242459915182e+17,prefer not to say,Nairobi
4,125__iconic,1.533716420772647e+18,prefer not to say,Kericho
5,Bonniedes,1.524933644879536e+18,prefer not to say,Nanyuki
6,EyanoEyano,325490910.0,prefer not to say,Nairobi
7,dickensjoh,1.3855075607913636e+18,prefer not to say,Nakuru
8,machirabrian,4460304316.0,prefer not to say,Nairobi
9,1stDarwin,2342778935.0,male,Nairobi
10,celleboboh,9.177732251735818e+17,prefer not to say,Nairobi
11,MishBosslady__,634459233.0,prefer not to say,Nairobi
12,KThefirst,2165457905.0,male,Nairobi
13,Denoh__,422110293.0,prefer not to say,Nairobi
14,RutoJoel,356347460.0,male,Nairobi
15,BraqueGeorges,337594729.0,male,Nairobi
16,ygwaweru,4715797281.0,male,Nairobi
17,ApparentKenyan,1.4577210244857324e+18,prefer not to say,Nairobi
18,twambari,275562803.0,male,Nairobi
19,MugambiNick,982924514.0,male,Nairobi
20,randyke1,9.640786055329137e+17,prefer not to say,Nakuru
21,SangKelvin01,1.077301359949566e+18,female,Nairobi
22,Giddy_Traitor_9,2997498100.0,prefer not to say,Nairobi
23,EWitness,1.237456473359356e+18,prefer not to say,Nairobi
24,finance_notes21,1.2275606573038674e+18,prefer not to say,Nairobi
25,blessedjackey,3246542092.0,prefer not to say,Nairobi
26,KYKiamba,383720798.0,prefer not to say,Nairobi
27,TevinMacharia,1.4450905911556588e+18,prefer not to say,Machakos
28,RutoZedekia,1.3670559071133368e+18,prefer not to say,Nairobi
29,mwangiwamso,147566735.0,prefer not to say,Nairobi
30,ASBELKEMBOI7,1.4840890316254822e+18,prefer not to say,Eldoret
31,MaimunaSaid7,1.5014584643542794e+18,prefer not to say,Mombasa
32,khanhussein20,2889508539.0,prefer not to say,Nairobi
33,Pauline34677965,1.5228516176614646e+18,female,Nairobi
34,Geffnuthskey,440172735.0,prefer not to say,Nakuru
35,JohnMulu12,1.259473093166334e+18,prefer not to say,Nairobi
36,Dizzy_Snazzy,2264467486.0,prefer not to say,Eldoret
37,RaswilliEms69,9.025193842535752e+17,prefer not to say,Nairobi
38,dkdaniek5,339547323.0,prefer not to say,Nairobi
39,Rashidhatibu254,9.146283822220576e+17,male,Nairobi
40,IsoeKenty,4008191729.0,prefer not to say,Nairobi
